pickup_loc_id,pickup_latitude,pickup_longitude
0,40.765151977539055,-73.97674560546875
1,40.767925262451165,-73.98348236083984
2,40.64480972290039,-73.78202056884764
3,40.769813537597656,-73.86341857910156
4,40.79218292236328,-73.97174072265625
5,40.70538330078125,-74.01719665527344
6,40.72784805297852,-73.99458312988281
7,40.64775848388672,-73.78877258300781
8,40.76464080810546,-73.95822143554686
9,40.74119186401367,-73.98577880859375
10,40.76416015625,-73.9884262084961
11,40.79742813110352,-73.96981811523438
12,40.78812789916992,-73.95380401611328
13,40.75217056274414,-73.97608947753906
14,40.719120025634766,-74.00206756591797
15,40.730716705322266,-74.00672912597656
16,40.716621398925774,-74.0066146850586
17,40.7706184387207,-73.98226928710938
18,40.6450309753418,-73.79238891601561
19,40.73189163208008,-73.9837875366211
20,40.738563537597656,-73.9994125366211
21,40.77117919921875,-73.86585998535155
22,40.76165008544922,-73.96642303466798
23,40.757118225097656,-73.9898681640625
24,40.74290084838867,-73.98406982421875
25,40.72746276855469,-74.00041961669923
26,40.75765228271485,-73.99080657958984
27,40.78703308105469,-73.9754867553711
28,40.6470184326172,-73.78941345214844
29,40.737300872802734,-73.9811248779297
30,40.74971389770508,-73.99230194091797
31,40.70626831054688,-74.00794219970702
32,40.768909454345696,-73.95465850830078
33,40.790332794189446,-73.96561431884764
34,40.75569152832031,-73.98728942871094
35,40.75626373291016,-73.9818344116211
36,40.78277206420898,-73.95122528076173
37,40.75618362426758,-73.98300933837889
38,40.72168350219727,-73.9886245727539
39,40.749187469482415,-73.99179077148438
40,40.73867034912109,-73.99591827392578
41,40.76414108276367,-73.95418548583984
42,40.654949188232415,-73.96170043945312
43,40.71890640258789,-73.98902130126953
44,40.75152587890625,-73.97113037109375
45,40.761695861816406,-73.98197174072266
46,40.79098129272461,-73.96903991699219
47,40.740581512451165,-73.99842834472656
48,40.74040985107422,-74.00578308105469
49,40.720516204833984,-73.9871368408203
50,40.76246643066406,-73.97879028320312
51,40.75724411010742,-73.98250579833984
52,40.70807266235352,-74.01290130615233
53,40.7908935546875,-73.96903991699219
54,40.75860977172852,-73.98222351074217
55,40.74930953979492,-74.00289916992188
56,40.757598876953125,-73.98590850830078
57,40.75899887084961,-73.99240112304686
58,40.7681884765625,-73.98390197753906
59,40.75659942626953,-73.99774932861328
60,40.766788482666016,-73.98654174804686
61,40.755615234375,-73.98704528808595
62,40.72500228881836,-73.99542999267578
63,40.725372314453125,-73.99212646484375
64,40.6477165222168,-73.7894287109375
65,40.77368927001953,-73.87077331542967
66,40.71413040161133,-73.9520492553711
67,40.75608444213867,-73.97259521484375
68,40.740352630615234,-74.00594329833984
69,40.76193618774414,-73.99005889892578
70,40.75598907470703,-73.97267150878906
71,40.74975204467773,-73.97994995117188
72,40.74505615234375,-73.98271942138672
73,40.77450942993164,-73.87252044677734
74,40.7205810546875,-73.9895782470703
75,40.75928115844727,-73.97259521484375
76,40.742332458496094,-74.0061264038086
77,40.77402114868164,-73.87443542480467
78,40.766998291015625,-73.96793365478516
79,40.774112701416016,-73.87453460693358
80,40.778316497802734,-73.94833374023438
81,40.734989166259766,-73.99053192138672
82,40.723098754882805,-73.98603820800781
83,40.676284790039055,-73.9805908203125
84,40.721050262451165,-74.01022338867188
85,40.722930908203125,-73.9827423095703
86,40.72338104248047,-73.9911117553711
87,40.76673889160156,-73.91590118408203
88,40.717899322509766,-74.00581359863281
89,40.76068878173828,-73.98741912841797
90,40.74217987060546,-73.98301696777342
91,40.76136016845703,-73.96698760986328
92,40.721866607666016,-73.98740386962889
93,40.75227355957031,-73.9783935546875
94,40.7559051513672,-73.97275543212889
95,40.60926055908203,-74.65130615234375
96,40.741226196289055,-73.98663330078125
97,40.74684143066406,-73.98587799072266
98,40.751819610595696,-73.97080993652342
99,40.76174545288086,-73.97491455078125
100,40.760536193847656,-73.97598266601561
101,40.7509880065918,-73.97419738769531
102,40.81066131591797,-73.95240783691406
103,40.78363037109375,-73.95482635498048
104,40.78583908081056,-73.9764175415039
105,40.80332946777344,-73.95626068115233
106,40.75708770751953,-73.9886016845703
107,40.75059509277344,-73.97509002685547
108,40.79274368286133,-73.9459457397461
109,40.737354278564446,-73.98848724365233
110,40.74312210083008,-73.9739990234375
111,40.70003509521485,-73.98757934570312
112,40.75999069213867,-73.9962158203125
113,40.72496795654297,-73.99883270263672
114,40.7530403137207,-73.97748565673827
115,40.71933364868164,-74.01016998291014
116,0.0,0.0
117,40.76193618774414,-73.98661041259764
118,40.76403045654297,-73.97314453125
